,name,brand,links,price,weight,price_gr,nutritients,photo_link
83,"BIO Riegel Banane, Rote Traube und Aronia 4er-Pack",Freche Freunde,https://www.foodist.de/freche-freunde-bio-riegel-banane-rote-traube-und-aronia-4er-pack-10885,"  1,75 € ",  Inhalt:  92 g ," 1,90 € / 100 g ","  Brennwert 1.611 kJ(383 kcal)   Fett 13,0 g   davon gesättigte Fettsäuren 1,4 g   Kohlenhydrate 58,0 g   davon Zucker 28,0 g   Ballaststoffe 6,4 g   Eiweiß 6,4 g   Salz 0,03 g  ",https://foodist.imgix.net/media/image/4260249144316_1.jpg?auto=compress%2Cformat&h=60&q=20&w=60
84,KakaoWUMMS - Gebrannte Kakaobohnen mit Chili,PURmacherei,https://www.foodist.de/purmacherei-kakaowumms-gebrannte-kakaobohnen-mit-chili-9063,"  3,49 € ",  Inhalt:  50 g ," 6,98 € / 100 g ","  Brennwert 2.184 kJ(527 kcal)   Fett 35,0 g   davon gesättigte Fettsäuren 22,0 g   Kohlenhydrate 32,0 g   davon Zucker 25,0 g   Ballaststoffe 21,0 g   Eiweiß 11,0 g   Salz 0,00 g  ",https://foodist.imgix.net/media/image/4270000466441_0vLbygHF8qWUGB.jpg?auto=compress%2Cformat&h=60&q=20&w=60
85,"BIO Getrocknete Kirschen, knusprig",Supersec,https://www.foodist.de/supersec-bio-getrocknete-kirschen-knusprig-9743,"  4,85 € ",  Inhalt:  140 g ," 3,46 € / 100 g ","  Brennwert 1.380 kJ(325 kcal)   Fett 0,5 g   davon gesättigte Fettsäuren 0,2 g   Kohlenhydrate 80,0 g   davon Zucker 67,5 g   Eiweiß 2,5 g   Salz 0,00 g  ",https://foodist.imgix.net/media/image/5425033150532_0.jpg?auto=compress%2Cformat&h=60&q=20&w=60
86,"Kleine Freuden Sparset, 2-teilig",Foodist,https://www.foodist.de/foodist-kleine-freuden-sparset-2-teilig-11674,"  29,98 € ",  Inhalt:  1 Stck. ," 29,98 € / 1 Stck. ","  Brennwert 2.564 kJ(614 kcal)   Fett 48,0 g   davon gesättigte Fettsäuren 24,0 g   Kohlenhydrate 37,0 g   davon Zucker 23,0 g   Eiweiß 7,0 g   Salz 0,26 g  ",https://foodist.imgix.net/media/image/Bundle_Shopbild_NutButterCupADK_WeihnachtsmannCVir1rZCzTKPS.jpg?auto=compress%2Cformat&h=60&q=20&w=60
87,Fruchtpapier Apfel & Erdbeere,Dörrwerk,https://www.foodist.de/doerrwerk-fruchtpapier-apfel-erdbeere-10930,"  1,50 € ",  Inhalt:  18 g ," 8,33 € / 100 g ","  Brennwert 1.333 kJ(319 kcal)   Fett 0,9 g   davon gesättigte Fettsäuren 0,3 g   Kohlenhydrate 63,0 g   davon Zucker 59,0 g   Ballaststoffe 14,0 g   Eiweiß 3,6 g   Salz 0,04 g  ",https://foodist.imgix.net/media/image/4280001516250_1rPgOAXnmC8p5b.jpg?auto=compress%2Cformat&h=60&q=20&w=60
88,Dextrose Bonbons mit Fruchtgeschmack,frufree,https://www.foodist.de/frufree-dextrose-bonbons-mit-fruchtgeschmack-10896,"  4,00 € ",  Inhalt:  90 g ," 4,44 € / 100 g ","  Brennwert 1.557 kJ(372 kcal)   Fett 0,7 g   davon gesättigte Fettsäuren 0,7 g   Kohlenhydrate 90,0 g   davon Zucker 88,0 g   Eiweiß 0,0 g   Salz 0,00 g  ",https://foodist.imgix.net/media/image/4270001476500_1.jpg?auto=compress%2Cformat&h=60&q=20&w=60
89,BIO Schokoladen Weihnachtsmann,Foodist,https://www.foodist.de/foodist-bio-schokoladen-weihnachtsmann-11231,"  4,99 € ",  Inhalt:  70 g ," 7,13 € / 100 g ","  Brennwert 2.516 kJ(599 kcal)   Fett 46,0 g   davon gesättigte Fettsäuren 29,0 g   Kohlenhydrate 43,0 g   davon Zucker 29,0 g   Eiweiß 3,1 g   Salz 0,14 g  ",https://foodist.imgix.net/media/image/foodistsanta_Shopbild_Freisteller.jpg?auto=compress%2Cformat&h=60&q=20&w=60
90,Mandeln mit Zimt & Zucker,Vista Portuguese,https://www.foodist.de/vista-portuguese-mandeln-mit-zimt-zucker-10854,"  7,90 € ",  Inhalt:  125 g ," 6,32 € / 100 g ","  Brennwert 2.022 kJ(442 kcal)   Fett 26,0 g   davon gesättigte Fettsäuren 2,0 g   Kohlenhydrate 59,0 g   davon Zucker 52,0 g   Eiweiß 11,0 g   Salz 0,00 g  ",https://foodist.imgix.net/media/image/5602132652727_0.jpg?auto=compress%2Cformat&h=60&q=20&w=60
91,"BIO Schokoladenpinguin ""snowy""",nucao,https://www.foodist.de/nucao-bio-schokoladenpinguin-snowy-11595,"  3,99 € ",  Inhalt:  60 g ," 6,65 € / 100 g ","  Brennwert 2.422 kJ(584 kcal)   Fett 44,0 g   davon gesättigte Fettsäuren 23,0 g   Kohlenhydrate 35,0 g   davon Zucker 25,0 g   Ballaststoffe 9,7 g   Eiweiß 6,7 g   Salz 0,17 g  ",https://foodist.imgix.net/media/image/Nucao_Shopbild_Pinguin_01.jpg?auto=compress%2Cformat&h=60&q=20&w=60
92,BIO Schokopops mit dunkler Schokolade und Mandel,ZAZ,https://www.foodist.de/zaz-bio-schokopops-mit-dunkler-schokolade-und-mandel-11470,"  3,49 € ",  Inhalt:  35 g ," 9,97 € / 100 g ","  Brennwert 2.154 kJ(513 kcal)   Fett 31,1 g   davon gesättigte Fettsäuren 16,1 g   Kohlenhydrate 44,4 g   davon Zucker 22,7 g   Ballaststoffe 16,0 g   Eiweiß 10,0 g   Salz 0,00 g  ",https://foodist.imgix.net/media/image/7649996005069_1.jpg?auto=compress%2Cformat&h=60&q=20&w=60
93,Kartoffelchips mit Trüffel,Zweifel,https://www.foodist.de/zweifel-kartoffelchips-mit-trueffel-10857,"  2,59 € ",  Inhalt:  70 g ," 3,70 € / 100 g ","  Brennwert 2.256 kJ(542 kcal)   Fett 35,0 g   davon gesättigte Fettsäuren 2,1 g   Kohlenhydrate 49,0 g   davon Zucker 1,2 g   Ballaststoffe 5,2 g   Eiweiß 5,3 g   Salz 1,60 g  ",https://foodist.imgix.net/media/image/7610095126900_1.jpg?auto=compress%2Cformat&h=60&q=20&w=60
94,BIO Superballs mit Erdnüssen und Kakaonibs,Superballs,https://www.foodist.de/superballs-bio-superballs-mit-erdnuessen-und-kakaonibs-11541,"  2,49 € ",  Inhalt:  48 g ," 5,19 € / 100 g ","  Brennwert 1.612 kJ(384 kcal)   Fett 15,0 g   davon gesättigte Fettsäuren 4,0 g   Kohlenhydrate 49,0 g   davon Zucker 47,0 g   Ballaststoffe 10,0 g   Eiweiß 9,0 g   Salz 0,60 g  ",https://foodist.imgix.net/media/image/4260540370032_0.jpg?auto=compress%2Cformat&h=60&q=20&w=60
95,BIO Pekannusskerne,Foodist,https://www.foodist.de/foodist-bio-pekannusskerne-11349,"  3,99 € ",  Inhalt:  100 g ," 3,99 € / 100 g ","  Brennwert 3.018 kJ(721 kcal)   Fett 72,0 g   davon gesättigte Fettsäuren 6,2 g   Kohlenhydrate 4,3 g   davon Zucker 4,0 g   Ballaststoffe 9,6 g   Eiweiß 9,2 g   Salz 0,00 g  ",https://foodist.imgix.net/media/image/4260453717696_0.jpg?auto=compress%2Cformat&h=60&q=20&w=60
96,BIO Almond Butter Bar,Foodist,https://www.foodist.de/foodist-bio-almond-butter-bar-10914,"  1,50 € ",  Inhalt:  30 g ," 5,00 € / 100 g ","  Brennwert 1.849 kJ(444 kcal)   Fett 25,0 g   davon gesättigte Fettsäuren 2,0 g   Kohlenhydrate 36,0 g   davon Zucker 32,0 g   Ballaststoffe 12,0 g   Eiweiß 13,0 g   Salz 0,10 g  ",https://foodist.imgix.net/media/image/4260453717221_1.jpg?auto=compress%2Cformat&h=60&q=20&w=60
97,Schokobrezeln,Foodist,https://www.foodist.de/foodist-schokobrezeln-10249,"  14,95 € ",  Inhalt:  500 g ," 2,99 € / 100 g ","  Brennwert 1.879 kJ(448 kcal)   Fett 16,0 g   davon gesättigte Fettsäuren 6,4 g   Kohlenhydrate 55,0 g   davon Zucker 1,1 g   Ballaststoffe 0,0 g   Eiweiß 7,9 g   Salz 2,20 g  ",https://foodist.imgix.net/media/image/4260453716279_0.jpg?auto=compress%2Cformat&h=60&q=20&w=60
