,name,brand,links,price,weight,price_gr,nutritients,photo_link
10,Fruchtpapier Apfel & Erdbeere,Dörrwerk,https://www.foodist.de/doerrwerk-fruchtpapier-apfel-erdbeere-10930,"  1,50 € ",  Inhalt:  18 g ," 8,33 € / 100 g ","  Brennwert 1.333 kJ(319 kcal)   Fett 0,9 g   davon gesättigte Fettsäuren 0,3 g   Kohlenhydrate 63,0 g   davon Zucker 59,0 g   Ballaststoffe 14,0 g   Eiweiß 3,6 g   Salz 0,04 g  ",https://foodist.imgix.net/media/image/4280001516250_1rPgOAXnmC8p5b.jpg?auto=compress%2Cformat&h=60&q=20&w=60
11,Dextrose Bonbons mit Fruchtgeschmack,frufree,https://www.foodist.de/frufree-dextrose-bonbons-mit-fruchtgeschmack-10896,"  4,00 € ",  Inhalt:  90 g ," 4,44 € / 100 g ","  Brennwert 1.557 kJ(372 kcal)   Fett 0,7 g   davon gesättigte Fettsäuren 0,7 g   Kohlenhydrate 90,0 g   davon Zucker 88,0 g   Eiweiß 0,0 g   Salz 0,00 g  ",https://foodist.imgix.net/media/image/4270001476500_1.jpg?auto=compress%2Cformat&h=60&q=20&w=60
12,BIO Schokoladen Weihnachtsmann,Foodist,https://www.foodist.de/foodist-bio-schokoladen-weihnachtsmann-11231,"  4,99 € ",  Inhalt:  70 g ," 7,13 € / 100 g ","  Brennwert 2.516 kJ(599 kcal)   Fett 46,0 g   davon gesättigte Fettsäuren 29,0 g   Kohlenhydrate 43,0 g   davon Zucker 29,0 g   Eiweiß 3,1 g   Salz 0,14 g  ",https://foodist.imgix.net/media/image/foodistsanta_Shopbild_Freisteller.jpg?auto=compress%2Cformat&h=60&q=20&w=60
13,Mandeln mit Zimt & Zucker,Vista Portuguese,https://www.foodist.de/vista-portuguese-mandeln-mit-zimt-zucker-10854,"  7,90 € ",  Inhalt:  125 g ," 6,32 € / 100 g ","  Brennwert 2.022 kJ(442 kcal)   Fett 26,0 g   davon gesättigte Fettsäuren 2,0 g   Kohlenhydrate 59,0 g   davon Zucker 52,0 g   Eiweiß 11,0 g   Salz 0,00 g  ",https://foodist.imgix.net/media/image/5602132652727_0.jpg?auto=compress%2Cformat&h=60&q=20&w=60
14,"BIO Schokoladenpinguin ""snowy""",nucao,https://www.foodist.de/nucao-bio-schokoladenpinguin-snowy-11595,"  3,99 € ",  Inhalt:  60 g ," 6,65 € / 100 g ","  Brennwert 2.422 kJ(584 kcal)   Fett 44,0 g   davon gesättigte Fettsäuren 23,0 g   Kohlenhydrate 35,0 g   davon Zucker 25,0 g   Ballaststoffe 9,7 g   Eiweiß 6,7 g   Salz 0,17 g  ",https://foodist.imgix.net/media/image/Nucao_Shopbild_Pinguin_01.jpg?auto=compress%2Cformat&h=60&q=20&w=60
15,BIO Schokopops mit dunkler Schokolade und Mandel,ZAZ,https://www.foodist.de/zaz-bio-schokopops-mit-dunkler-schokolade-und-mandel-11470,"  3,49 € ",  Inhalt:  35 g ," 9,97 € / 100 g ","  Brennwert 2.154 kJ(513 kcal)   Fett 31,1 g   davon gesättigte Fettsäuren 16,1 g   Kohlenhydrate 44,4 g   davon Zucker 22,7 g   Ballaststoffe 16,0 g   Eiweiß 10,0 g   Salz 0,00 g  ",https://foodist.imgix.net/media/image/7649996005069_1.jpg?auto=compress%2Cformat&h=60&q=20&w=60
16,Kartoffelchips mit Trüffel,Zweifel,https://www.foodist.de/zweifel-kartoffelchips-mit-trueffel-10857,"  2,59 € ",  Inhalt:  70 g ," 3,70 € / 100 g ","  Brennwert 2.256 kJ(542 kcal)   Fett 35,0 g   davon gesättigte Fettsäuren 2,1 g   Kohlenhydrate 49,0 g   davon Zucker 1,2 g   Ballaststoffe 5,2 g   Eiweiß 5,3 g   Salz 1,60 g  ",https://foodist.imgix.net/media/image/7610095126900_1.jpg?auto=compress%2Cformat&h=60&q=20&w=60
17,BIO Superballs mit Erdnüssen und Kakaonibs,Superballs,https://www.foodist.de/superballs-bio-superballs-mit-erdnuessen-und-kakaonibs-11541,"  2,49 € ",  Inhalt:  48 g ," 5,19 € / 100 g ","  Brennwert 1.612 kJ(384 kcal)   Fett 15,0 g   davon gesättigte Fettsäuren 4,0 g   Kohlenhydrate 49,0 g   davon Zucker 47,0 g   Ballaststoffe 10,0 g   Eiweiß 9,0 g   Salz 0,60 g  ",https://foodist.imgix.net/media/image/4260540370032_0.jpg?auto=compress%2Cformat&h=60&q=20&w=60
18,BIO Pekannusskerne,Foodist,https://www.foodist.de/foodist-bio-pekannusskerne-11349,"  3,99 € ",  Inhalt:  100 g ," 3,99 € / 100 g ","  Brennwert 3.018 kJ(721 kcal)   Fett 72,0 g   davon gesättigte Fettsäuren 6,2 g   Kohlenhydrate 4,3 g   davon Zucker 4,0 g   Ballaststoffe 9,6 g   Eiweiß 9,2 g   Salz 0,00 g  ",https://foodist.imgix.net/media/image/4260453717696_0.jpg?auto=compress%2Cformat&h=60&q=20&w=60
19,BIO Almond Butter Bar,Foodist,https://www.foodist.de/foodist-bio-almond-butter-bar-10914,"  1,50 € ",  Inhalt:  30 g ," 5,00 € / 100 g ","  Brennwert 1.849 kJ(444 kcal)   Fett 25,0 g   davon gesättigte Fettsäuren 2,0 g   Kohlenhydrate 36,0 g   davon Zucker 32,0 g   Ballaststoffe 12,0 g   Eiweiß 13,0 g   Salz 0,10 g  ",https://foodist.imgix.net/media/image/4260453717221_1.jpg?auto=compress%2Cformat&h=60&q=20&w=60
20,Schokobrezeln,Foodist,https://www.foodist.de/foodist-schokobrezeln-10249,"  14,95 € ",  Inhalt:  500 g ," 2,99 € / 100 g ","  Brennwert 1.879 kJ(448 kcal)   Fett 16,0 g   davon gesättigte Fettsäuren 6,4 g   Kohlenhydrate 55,0 g   davon Zucker 1,1 g   Ballaststoffe 0,0 g   Eiweiß 7,9 g   Salz 2,20 g  ",https://foodist.imgix.net/media/image/4260453716279_0.jpg?auto=compress%2Cformat&h=60&q=20&w=60
21,"Bonbons ""Vanillezauber""",Delica,https://www.foodist.de/delica-bonbons-vanillezauber-11445,"  4,99 € ",  Inhalt:  70 g ," 7,13 € / 100 g ","  Brennwert 1.668 kJ(393 kcal)   Fett 0,1 g   davon gesättigte Fettsäuren 0,1 g   Kohlenhydrate 97,8 g   davon Zucker 59,8 g   Eiweiß 0,1 g   Salz 0,00 g  ",https://foodist.imgix.net/media/image/4013149156787_150.jpg?auto=compress%2Cformat&h=60&q=20&w=60
22,BIO Vegane Schokolade mit Kokosmilch,Naturata,https://www.foodist.de/naturata-bio-vegane-schokolade-mit-kokosmilch-11475,"  3,49 € ",  Inhalt:  100 g ," 3,49 € / 100 g ","  Brennwert 2.490 kJ(599 kcal)   Fett 45,0 g   davon gesättigte Fettsäuren 30,0 g   Kohlenhydrate 41,0 g   davon Zucker 37,0 g   Eiweiß 5,0 g   Salz 0,15 g  ",https://foodist.imgix.net/media/image/4024297016779_1.jpg?auto=compress%2Cformat&h=60&q=20&w=60
