,product,brand,weight,links,price,price_gr,nutritions,photo_link
76,Riegel °Extra Pur 94% Kakao° - 40g,Lovechock,- 40g,https://kokku-online.de/lovechock-riegel-extra-pur-94-kakao/,2.49 €,6.23€/100g,Brennwert2644 kJ / 640 kcalFett56g- davon gesättigte Fettsäuren33gKohlenhydrate19g- davon Zucker12gEiweiß8.7gSalz0.04g,https://kokku-online.de//bilder/350x350/17292/lovechock-riegel-extra-pur-94-kakao.auto
77,Tafel Extra Dark 93% Kakao - 70g,Lovechock,- 70g,https://kokku-online.de/lovechock-tafel-extra-dark-93-kakao/,3.99 €,5.70€/100g,Brennwert2842 kJ / 684 kcalFett63g- davon gesättigte Fettsäuren34gKohlenhydrate14.0g- davon Zucker6.5gEiweiß9.0gSalz0.07g,https://kokku-online.de//bilder/350x350/17288/lovechock-tafel-extra-dark-93-kakao.auto
78,Edel Bitter 70% - 100g,Vivani,- 100g,https://kokku-online.de/vivani-edel-bitter-70/,2.49 €,2.49€/100g,"Brennwert2453 kJ / 592 kcalFett45.8g- davon gesättigte Fettsäuren28.8gKohlenhydrate33.1g- davon Zucker28gEiweiß6.6gSalz< 0,01g",https://kokku-online.de//bilder/350x350/17425/vivani-edel-bitter-70.auto
79,Feine Bitter 75% - 100g,Vivani,- 100g,https://kokku-online.de/vivani-feine-bitter-75/,2.49 €,2.49€/100g,"Brennwert2523 kJ / 610 kcalFett50.2g- davon gesättigte Fettsäuren31.6gKohlenhydrate27.1g- davon Zucker21.9gEiweiß6.9gSalz< 0,07g",https://kokku-online.de//bilder/350x350/17411/vivani-feine-bitter-75.auto
80,Edel Bitter 89% - 80g,Vivani,- 80g,https://kokku-online.de/vivani-edel-bitter-89/,2.49 €,3.11€/100g,Brennwert2629 kJ / 637 kcalFett57.1g- davon gesättigte Fettsäuren36gKohlenhydrate15.6g- davon Zucker8.8gEiweiß8.4gSalz< 0.04g,https://kokku-online.de//bilder/350x350/17503/vivani-edel-bitter-89.auto
81,Feine Bitter 92% - 80g,Vivani,- 80g,https://kokku-online.de/vivani-feine-bitter-92/,2.49 €,3.11€/100g,Brennwert2674 kJ / 648 kcalFett59.4g- davon gesättigte Fettsäuren37.4gKohlenhydrate13.1g- davon Zucker6gEiweiß8.5gSalz< 0.02g,https://kokku-online.de//bilder/350x350/17500/vivani-feine-bitter-92.auto
82,Feine Bitter 99% - 80g,Vivani,- 80g,https://kokku-online.de/vivani-feine-bitter-99/,2.49 €,3.11€/100g,Brennwert2768 kJ / 672 kcalFett64.3g- davon gesättigte Fettsäuren40.5gKohlenhydrate7.4g- davon Zucker0.5gEiweiß8.8gSalz< 0.02g,https://kokku-online.de//bilder/350x350/17501/vivani-feine-bitter-99.auto
83,Coole Lollies Wassereis °Fruchtiger Mix° - 300ml,Fredo's,- 300ml,https://kokku-online.de/fredos-coole-lollies-fruchtiger-mix/,2.59 €,8.63€/l,"Brennwert310 kJ / 73 kcalFett<0,5g- davon gesättigte Fettsäuren<0,1gKohlenhydrate17,8g- davon Zucker16,5gEiweiß<0,5gSalz<0,01g",https://kokku-online.de//bilder/350x350/17098/fredos-coole-lollies-fruchtiger-mix.auto
84,Fredos Popcorn Süß - 60g,Fredo's,- 60g,https://kokku-online.de/fredos-fredos-popcorn-suess/,1.69 €,2.82€/100g,"Brennwert1556 kJ / 371 kcalFett3,9g- davon gesättigte Fettsäuren0,5gKohlenhydrate73g- davon Zucker30gEiweiß7,7gSalz<0,1g",https://kokku-online.de//bilder/350x350/17461/fredos-fredos-popcorn-suess.auto
85,Schoko Pflaumen - 90g,Rosengarten,- 90g,https://kokku-online.de/rosengarten-pflaumen-in-zartbitterschokolade/,3.79 €,4.21€/100g,Brennwert1588 kJ / 379 kcalFett13.3g- davon gesättigte Fettsäuren8.1gKohlenhydrate49.8g- davon Zucker35.5gEiweiß3.5gSalz< 0.01g,https://kokku-online.de//bilder/350x350/18124/rosengarten-pflaumen-in-zartbitterschokolade.auto
86,Dinkel Nuss Kuss - 150g,Sommer,- 150g,https://kokku-online.de/sommer-dinkel-nuss-kuss/,2.69 €,1.79€/100g,Brennwert2211 kJ / 530 kcalFett32g- davon gesättigte Fettsäuren8.6gKohlenhydrate50g- davon Zucker23gEiweiß8.6gSalz0.15g,https://kokku-online.de//bilder/350x350/17748/sommer-dinkel-nuss-kuss.auto
87,Dinkel Anis Sterne - 150g,Sommer,- 150g,https://kokku-online.de/sommer-dinkel-anis-sterne/,2.69 €,1.79€/100g,Brennwert1798 kJ / 427 kcalFett13g- davon gesättigte Fettsäuren6gKohlenhydrate69g- davon Zucker29gEiweiß7.4gSalz0.19g,https://kokku-online.de//bilder/350x350/17747/sommer-dinkel-anis-sterne.auto
