,links,price,price_gr,nutritions,photo_link
457,https://kokku-online.de/raw-bite-raw-bite-vanilla-berry/,1.79 €,3.58€/100g,"Brennwert1705 kJ / 408 kcalFett16g- davon gesättigte Fettsäuren1gKohlenhydrate52g- davon Zucker42gEiweiß8gSalz0,015g",https://kokku-online.de//bilder/350x350/1938/raw-bite-raw-bite-vanilla-berry.auto
458,https://kokku-online.de/raw-bite-raw-bite-apple-cinnamon/,1.79 €,3.58€/100g,"Brennwert1781 kJ / 426 kcalFett16g- davon gesättigte Fettsäuren2,0gKohlenhydrate57g- davon Zucker46gEiweiß8,0gSalz0,03g",https://kokku-online.de//bilder/350x350/1936/raw-bite-raw-bite-apple-cinnamon.auto
459,https://kokku-online.de/landgarten-naschfruechte-amarenakirsche-zartbitter/,1.99 €,3.98€/100g,"Brennwert2118 kJ / 509 kcalFett32g- davon gesättigte Fettsäuren19gKohlenhydrate46g- davon Zucker43gEiweiß5,1gSalz0,03g",https://kokku-online.de//bilder/350x350/1868/landgarten-naschfruechte-amarenakirsche-zartbitter.auto
460,https://kokku-online.de/landgarten-ingwer-in-zartbitterschokolade/,1.89 €,2.70€/100g,"Brennwert1978 kJ / 473 kcalFett23g- davon gesättigte Fettsäuren15gKohlenhydrate59g- davon Zucker54gEiweiß4,2gSalz0,10g",https://kokku-online.de//bilder/350x350/18910/landgarten-ingwer-in-zartbitterschokolade.auto
461,https://kokku-online.de/landgarten-naschfruechte-himbeere-zartbitter/,1.99 €,3.98€/100g,"Brennwert2158 kJ / 519 kcalFett35g- davon gesättigte Fettsäuren21gKohlenhydrate39g- davon Zucker37gEiweiß6,2gSalz0,02g",https://kokku-online.de//bilder/350x350/1606/landgarten-naschfruechte-himbeere-zartbitter.auto
462,https://kokku-online.de/candy-tree-bio-erdbeerschnuere/,1.99 €,2.65€/100g,"Brennwert1433 kJ / 337 kcalFett0,4g- davon gesättigte Fettsäuren0,1gKohlenhydrate81,6g- davon Zucker42,4gEiweiß1,9gSalz0,1g",https://kokku-online.de//bilder/350x350/5762/candy-tree-bio-erdbeerschnuere.auto
463,https://kokku-online.de/candy-tree-bio-himbeerschnuere/,1.99 €,2.65€/100g,"Brennwert1427 kJ / 336 kcalFett0,3g- davon gesättigte Fettsäuren0,1gKohlenhydrate81,1g- davon Zucker42,1gEiweiß2,0gSalz0,1g",https://kokku-online.de//bilder/350x350/5761/candy-tree-bio-himbeerschnuere.auto
464,https://kokku-online.de/vantastic-foods-schakaberry/,3.29 €,3.29€/100g,"Brennwert2310 kJ / 551 kcalFett36g- davon gesättigte Fettsäuren21gKohlenhydrate56g- davon Zucker42gEiweiß2,5gSalz0,25g",https://kokku-online.de//bilder/350x350/9335/vantastic-foods-schakaberry.auto
465,https://kokku-online.de/debron-marshmallow-vanilla-und-strawberry/,2.29 €,3.05€/100g,"Brennwert1454 kJ / 342 kcalFett0g- davon gesättigte Fettsäuren0gKohlenhydrate85g- davon Zucker72gEiweiß0,5gSalz0,20g",https://kokku-online.de//bilder/350x350/9441/debron-marshmallow-vanilla-und-strawberry.auto
466,https://kokku-online.de/landgarten-kuerbis-in-zartbitter-schokolade/,1.49 €,2.98€/100g,"Brennwert2290 kJ / 551 kcalFett39g- davon gesättigte Fettsäuren18gKohlenhydrate31g- davon Zucker28gEiweiß15gSalz0,12g",https://kokku-online.de//bilder/350x350/7275/landgarten-kuerbis-in-zartbitter-schokolade.auto
467,https://kokku-online.de/pural-choc-o-nut/,0.99 €,1.16€/100g,"Brennwert1976 kJ / 471 kcalFett20g- davon gesättigte Fettsäuren8gKohlenhydrate66g- davon Zucker30gEiweiß6,7gSalz0,58g",https://kokku-online.de//bilder/350x350/9537/pural-choc-o-nut.auto
468,https://kokku-online.de/lovechock-riegel-mandel-feige/,2.49 €,6.23€/100g,"Brennwert2476 kJ / 597 kcalFett46g- davon gesättigte Fettsäuren24gKohlenhydrate32g- davon Zucker25gEiweiß8.5gSalz0,03g",https://kokku-online.de//bilder/350x350/16120/lovechock-riegel-mandel-feige.auto
469,https://kokku-online.de/heidi-chocolate-schmunzel-nikolaus-zartbitter/,3.19 €,7.98€/100g,"Brennwert2417 kJ / 577 kcalFett43,5g- davon gesättigte Fettsäuren26,4gKohlenhydrate34,4g- davon Zucker29,2gEiweiß6,7gSalz0,2g",https://kokku-online.de//bilder/350x350/5948/heidi-chocolate-schmunzel-nikolaus-zartbitter.auto
470,https://kokku-online.de/vantastic-foods-schakalode-buttons/,8.99 €,17.98€/kg,"Brennwert2267 kJ / 541 kcalFett35,0g- davon gesättigte Fettsäuren22gKohlenhydrate57g- davon Zucker44gEiweiß2,0gSalz0,28g",https://kokku-online.de//bilder/350x350/9819/vantastic-foods-schakalode-buttons.auto
471,https://kokku-online.de/lovechock-roh-riegel-maulbeere-vanille/,2.49 €,6.23€/100g,Brennwert2412 kJ / 580 kcalFett41g- davon gesättigte Fettsäuren21gKohlenhydrate45g- davon Zucker29gEiweiß5.1gSalz0.04g,https://kokku-online.de//bilder/350x350/17284/lovechock-roh-riegel-maulbeere-vanille.auto
472,https://kokku-online.de/sobo-vegane-gummi-baerchen-300g/,4.99 €,16.63€/kg,"Brennwert1203 kJ / 287 kcalFett0g- davon gesättigte Fettsäuren0gKohlenhydrate52g- davon Zucker37gEiweiß1,1gSalz0,19g",https://kokku-online.de//bilder/350x350/10305/sobo-vegane-gummi-baerchen-300g.auto
473,https://kokku-online.de/topas-wheaty-spacebar-hanf/,1.19 €,2.98€/100g,"Brennwert1145 kJ / 273 kcalFett12,7g- davon gesättigte Fettsäuren9,7gKohlenhydrate4,6g- davon Zucker0,5gEiweiß35,1gSalz1,6g",https://kokku-online.de//bilder/350x350/18763/topas-wheaty-spacebar-hanf.auto
474,https://kokku-online.de/vantastic-foods-weisse-schakalode-buttons/,8.99 €,17.98€/kg,"Brennwert2429 kJ / 580 kcalFett39g- davon gesättigte Fettsäuren22gKohlenhydrate57g- davon Zucker36gEiweiß1,4gSalz0,25g",https://kokku-online.de//bilder/350x350/9382/vantastic-foods-weisse-schakalode-buttons.auto
475,https://kokku-online.de/vantastic-foods-futterkeks/,2.29 €,1.53€/100g,"Brennwert1893 kJ / 450 kcalFett15g- davon gesättigte Fettsäuren1,8gKohlenhydrate71g- davon Zucker24gEiweiß6,5gSalz0,74g",https://kokku-online.de//bilder/350x350/8347/vantastic-foods-futterkeks.auto
476,https://kokku-online.de/lovechock-riegel-kirsch-chili/,2.49 €,6.23€/100g,Brennwert2288 kJ / 551 kcalFett41g- davon gesättigte Fettsäuren24gKohlenhydrate35g- davon Zucker27gEiweiß6.3gSalz0.03g,https://kokku-online.de//bilder/350x350/16127/lovechock-riegel-kirsch-chili.auto
477,https://kokku-online.de/topas-wheaty-spacebar-red-hot-chili-peppers/,1.19 €,2.98€/100g,"Brennwert1038 kJ / 248 kcalFett11,7g- davon gesättigte Fettsäuren8,8gKohlenhydrate3,3g- davon Zucker0,5gEiweiß31,4gSalz1,3g",https://kokku-online.de//bilder/350x350/18762/topas-wheaty-spacebar-red-hot-chili-peppers.auto
