,product,brand,price,weight,kj,kcal,fat,sat_fat,carbs,sugar,fibre,protein,salt,product_link,photo_link,brand_new,cluster,cluster_2
712,Pop Squares °Cinnamon° ,Pri's Puddings,2.29,0.044,1674.0,400.0,17.0,14.0,53.0,23.0,,6.0,,https://kokku-online.de/pris-puddings-pop-squares-cinnamon/,https://kokku-online.de//bilder/350x350/17755/pris-puddings-pop-squares-cinnamon.auto,Other,0,4
713,Fredos Popcorn Zimtig ,Fredo's,1.69,0.06,1467.0,349.0,6.3,0.7,64.0,32.0,,5.5,0.0,https://kokku-online.de/fredos-fredos-popcorn-zimtig/,https://kokku-online.de//bilder/350x350/17462/fredos-fredos-popcorn-zimtig.auto,Other,0,3
714,Fredos Popcorn Salzig ,Fredo's,1.69,0.05,1643.0,392.0,14.0,9.1,54.0,0.8,,9.5,3.9,https://kokku-online.de/fredos-fredos-popcorn-salzig/,https://kokku-online.de//bilder/350x350/17460/fredos-fredos-popcorn-salzig.auto,Other,0,4
715,Lutscher °Erdbeere° ,Candy Tree,0.69,0.012,1545.0,346.0,0.3,0.0,89.7,55.1,,0.5,0.0,https://kokku-online.de/candy-tree-bio-lutscher-erdbeere/,https://kokku-online.de//bilder/350x350/17665/candy-tree-bio-lutscher-erdbeere.auto,Candy Tree,0,3
716,Lutscher °Ahorn° ,Candy Tree,0.69,0.013,1606.0,378.0,0.0,0.0,94.5,58.3,,0.0,0.0,https://kokku-online.de/candy-tree-bio-lutscher-ahorn/,https://kokku-online.de//bilder/350x350/17662/candy-tree-bio-lutscher-ahorn.auto,Candy Tree,0,3
717,Vlinsen - Schokolinsen Minze ,Vegablum,4.49,0.15,1965.0,469.0,20.4,12.8,63.6,61.0,,4.5,0.01,https://kokku-online.de/vegablum-vlinsen-schokolinsen-minze/,https://kokku-online.de//bilder/350x350/17362/vegablum-vlinsen-schokolinsen-minze.auto,Other,0,3
718,Vlinsen - Schokolinsen im Glas ,Vegablum,4.49,0.15,1970.0,470.0,20.8,13.1,62.9,60.3,,4.6,0.01,https://kokku-online.de/vegablum-vlinsen-schokolinsen-im-glas/,https://kokku-online.de//bilder/350x350/17363/vegablum-vlinsen-schokolinsen-im-glas.auto,Other,0,3
719,Schoko Erdnüsse im Glas ,Vegablum,4.69,0.15,2264.0,544.0,33.5,16.0,45.2,39.4,,10.5,0.01,https://kokku-online.de/vegablum-schoko-erdnuesse-im-glas/,https://kokku-online.de//bilder/350x350/17361/vegablum-schoko-erdnuesse-im-glas.auto,Other,2,0
720,Popcorn Zimt ,Heimatgut,2.49,0.09,1890.0,450.0,17.0,14.0,62.0,28.0,,6.6,0.03,https://kokku-online.de/heimatgut-popcorn-zimt/,https://kokku-online.de//bilder/350x350/17121/heimatgut-popcorn-zimt.auto,Heimatgut,4,2
721,Lubsies Haselnuss Nougat ,Lubs,1.99,0.054,1860.0,445.0,21.0,3.6,52.0,46.0,,7.6,0.24,https://kokku-online.de/lubs-lubsies-haselnuss-nougat/,https://kokku-online.de//bilder/350x350/16748/lubs-lubsies-haselnuss-nougat.auto,Lubs,7,2
722,Lubsies Mandel Nougat ,Lubs,1.99,0.054,1776.0,424.0,18.0,3.0,52.0,47.0,,8.9,0.29,https://kokku-online.de/lubs-lubsies-mandel-nougat/,https://kokku-online.de//bilder/350x350/16747/lubs-lubsies-mandel-nougat.auto,Lubs,7,2
723,Waldbeer Kokostafel mit Dattelzucker - Quadratur des Kreises ,Zotter,3.89,0.07,2370.0,571.0,42.0,27.0,41.0,37.0,,3.5,0.08,https://kokku-online.de/zotter-quadratur-des-kreises-waldbeer-kokos-mit-dattelzucker/,https://kokku-online.de//bilder/350x350/16294/zotter-quadratur-des-kreises-waldbeer-kokos-mit-dattelzucker.auto,Zotter,2,0
724,Fruchtgummi °Himbeer° Giraffen Schlange ,Candy Tree,0.99,0.05,1427.0,336.0,0.0,0.0,81.1,42.0,,2.0,0.0,https://kokku-online.de/candy-tree-fruchtgummi-himbeer-giraffen-schlange/,https://kokku-online.de//bilder/350x350/15986/candy-tree-fruchtgummi-himbeer-giraffen-schlange.auto,Candy Tree,0,3
725,Fruchtgummi °Erdbeer° Giraffen Schlange ,Candy Tree,0.99,0.05,1433.0,337.0,0.0,0.0,81.0,42.0,,1.0,0.0,https://kokku-online.de/candy-tree-fruchtgummi-erdbeer-giraffen-schlange/,https://kokku-online.de//bilder/350x350/15988/candy-tree-fruchtgummi-erdbeer-giraffen-schlange.auto,Candy Tree,0,3
726,Schokotäfelchen 3er-Set ,Cocoa Libre,6.99,0.12,2260.0,539.0,35.1,21.0,45.5,42.9,,5.2,,https://kokku-online.de/cocoa-libre-schokotaefelchen-3er-set/,https://kokku-online.de//bilder/350x350/14667/cocoa-libre-schokotaefelchen-3er-set.auto,Other,2,0
727,°Frösche° aus Schokolade mit Orange ,Cocoa Libre,2.99,0.04,2177.0,520.0,33.1,20.7,49.4,37.8,,1.9,,https://kokku-online.de/cocoa-libre-froesche-aus-schokolade-mit-orange/,https://kokku-online.de//bilder/350x350/14668/cocoa-libre-froesche-aus-schokolade-mit-orange.auto,Other,2,0
728,Beeren Konfekt ,Lubs,2.69,0.08,1284.0,303.0,0.9,0.2,67.1,59.3,,2.5,0.07,https://kokku-online.de/lubs-beeren-konfekt/,https://kokku-online.de//bilder/350x350/11193/lubs-beeren-konfekt.auto,Lubs,7,3
729,Xylit Bonbons Orange zuckerfrei ,Birkengold,2.49,0.03,1072.0,257.0,1.8,1.8,93.0,0.0,,0.0,0.4,https://kokku-online.de/birkengold-xylit-bonbons-orange-zuckerfrei/,https://kokku-online.de//bilder/350x350/10512/birkengold-xylit-bonbons-orange-zuckerfrei.auto,Birkengold,0,3
730,Riegel Kakao Mandel Protein ,Lubs,1.19,0.038,1754.0,420.0,19.0,6.2,41.0,37.0,,16.0,0.27,https://kokku-online.de/lubs-riegel-kakao-mandel-protein/,https://kokku-online.de//bilder/350x350/10818/lubs-riegel-kakao-mandel-protein.auto,Lubs,7,2
731,Riegel Spirulina & Zitrone ,Lubs,1.19,0.04,1610.0,388.0,17.0,1.5,46.0,46.0,,11.0,0.16,https://kokku-online.de/lubs-riegel-spirulina-und-zitrone/,https://kokku-online.de//bilder/350x350/10816/lubs-riegel-spirulina-und-zitrone.auto,Lubs,7,2
732,Xylit Kaugummi Box °Zimt Natur° ,Birkengold,2.99,0.028,764.0,182.0,0.0,0.0,76.0,0.0,,0.0,,https://kokku-online.de/birkengold-xylit-kaugummi-box-zimt-natur/,https://kokku-online.de//bilder/350x350/10801/birkengold-xylit-kaugummi-box-zimt-natur.auto,Birkengold,0,3
733,Xylit Kaugummi Box °Frucht Natur° ,Birkengold,2.99,0.028,747.0,180.0,0.0,0.0,74.0,0.0,,0.0,,https://kokku-online.de/birkengold-xylit-kaugummi-box-frucht-natur/,https://kokku-online.de//bilder/350x350/10799/birkengold-xylit-kaugummi-box-frucht-natur.auto,Birkengold,0,3
734,Xylit Kaugummi Box °Grüne Minze Natur° ,Birkengold,2.99,0.028,763.0,183.0,0.0,0.0,76.0,0.0,,0.0,,https://kokku-online.de/birkengold-xylit-kaugummi-box-gruene-minze-natur/,https://kokku-online.de//bilder/350x350/10800/birkengold-xylit-kaugummi-box-gruene-minze-natur.auto,Birkengold,0,3
735,Xylit Bonbons Minze zuckerfrei ,Birkengold,2.49,0.03,1072.0,257.0,1.8,1.8,95.0,0.0,,0.0,0.4,https://kokku-online.de/birkengold-xylit-bonbons-minze/,https://kokku-online.de//bilder/350x350/10511/birkengold-xylit-bonbons-minze.auto,Birkengold,0,3
736,Edelbitter Schokolade 85% mit Xylit ,Birkengold,3.29,0.1,2391.0,580.0,51.0,31.0,22.0,0.2,,8.0,,https://kokku-online.de/birkengold-edelbitter-schokolade-85-mit-xylit/,https://kokku-online.de//bilder/350x350/10506/birkengold-edelbitter-schokolade-85-mit-xylit.auto,Birkengold,2,0
737,Zartbitter Schokolade mit Xylit ,Birkengold,3.19,0.1,1927.0,466.0,34.0,20.9,49.0,0.1,,5.1,,https://kokku-online.de/birkengold-zartbitter-schokolade-mit-xylit/,https://kokku-online.de//bilder/350x350/10516/birkengold-zartbitter-schokolade-mit-xylit.auto,Birkengold,2,4
738,Zartbitter Schokolade Haselnuss (ohne Zucker) ,Birkengold,2.99,0.1,2001.0,484.0,37.0,18.6,44.0,0.4,,5.8,,https://kokku-online.de/birkengold-zartbitter-schokolade-haselnuss-ohne-zucker/,https://kokku-online.de//bilder/350x350/10515/birkengold-zartbitter-schokolade-haselnuss-ohne-zucker.auto,Birkengold,2,4
739,Chia Hafer Kekse mit Xylit ,Birkengold,2.99,0.125,1940.0,465.0,25.0,3.0,59.0,0.26,,7.2,0.33,https://kokku-online.de/birkengold-chia-hafer-kekse-mit-xylit/,https://kokku-online.de//bilder/350x350/10504/birkengold-chia-hafer-kekse-mit-xylit.auto,Birkengold,0,2
740,Dinkel Vollkorn Kekse ,Birkengold,2.99,0.125,1945.0,466.0,24.0,2.8,61.0,0.47,,7.9,0.51,https://kokku-online.de/birkengold-dinkel-vollkorn-kekse/,https://kokku-online.de//bilder/350x350/10505/birkengold-dinkel-vollkorn-kekse.auto,Birkengold,0,2
741,Bagels °Classic° ,go4raw,1.39,0.1,1757.0,419.0,13.5,11.5,58.7,1.6,,10.4,0.9,https://kokku-online.de/go4raw-vollkorn-bagels-classic/,https://kokku-online.de//bilder/350x350/10368/go4raw-vollkorn-bagels-classic.auto,go4raw,0,2
742,Bagels °7 Superseeds° ,go4raw,1.39,0.1,1804.0,431.0,15.9,11.8,55.7,1.5,,10.8,0.9,https://kokku-online.de/go4raw-vollkorn-bagels-7-superseeds/,https://kokku-online.de//bilder/350x350/10369/go4raw-vollkorn-bagels-7-superseeds.auto,go4raw,0,2
743,Riegel °Kurkuma turmeric - Om!° ,go4raw,0.99,0.025,1650.0,393.0,13.01,2.68,48.0,39.0,,16.81,0.02,https://kokku-online.de/go4raw-riegel-kurkuma-om/,https://kokku-online.de//bilder/350x350/10366/go4raw-riegel-kurkuma-om.auto,go4raw,0,2
744,Riegel °Erdnuss-Tahini° ,go4raw,0.99,0.025,1777.0,423.0,13.2,2.1,60.0,29.0,,11.31,0.04,https://kokku-online.de/go4raw-riegel-erdnuss-tahini/,https://kokku-online.de//bilder/350x350/10364/go4raw-riegel-erdnuss-tahini.auto,go4raw,0,2
745,Lateinamerika Edelbitter Schokolade 100% ,Naturata,3.29,0.08,2610.0,634.0,58.0,36.0,8.0,0.6,,12.0,0.02,https://kokku-online.de/naturata-lateinamerika-edelbitter-100-kakao/,https://kokku-online.de//bilder/350x350/10245/naturata-lateinamerika-edelbitter-100-kakao.auto,Naturata,2,0
746,Xylit Kaugummi °Pfefferminze° ,Birkengold,1.39,0.017,739.0,178.0,0.0,0.0,73.0,0.0,,0.0,,https://kokku-online.de/birkengold-xylit-kaugummi-pfefferminze/,https://kokku-online.de//bilder/350x350/10102/birkengold-xylit-kaugummi-pfefferminze.auto,Birkengold,0,3
747,Xylit Kaugummi °Frucht° ,Birkengold,1.39,0.017,760.0,183.0,0.0,0.0,75.0,0.0,,0.0,,https://kokku-online.de/birkengold-xylit-kaugummi-frucht/,https://kokku-online.de//bilder/350x350/10101/birkengold-xylit-kaugummi-frucht.auto,Birkengold,0,3
748,Xylit Kaugummi °Grüne Minze° ,Birkengold,1.39,0.017,751.0,180.0,0.0,0.0,75.0,0.0,,0.0,,https://kokku-online.de/birkengold-xylit-kaugummi-gruene-minze/,https://kokku-online.de//bilder/350x350/10099/birkengold-xylit-kaugummi-gruene-minze.auto,Birkengold,0,3
749,Edelmarzipan für Dich ,Landgarten,3.99,0.09,2116.0,506.0,30.0,12.0,48.0,44.0,,7.8,0.05,https://kokku-online.de/landgarten-marzipan-in-zartbitter-schokolade/,https://kokku-online.de//bilder/350x350/18830/landgarten-marzipan-in-zartbitter-schokolade.auto,Landgarten,2,2
