,product,brand,price,weight,kj,kcal,fat,sat_fat,carbs,sugar,fibre,protein,salt,product_link,photo_link,brand_new,cluster,cluster_2
0,Soja Protein Crispies 58 % mit Kakao ,Koro,14.0,1.0,1535.0,362.0,19.0,4.0,282.0,91.0,18.0,58.0,27.0,https://www.korodrogerie.de/soja-protein-crispies-58-mit-kakao-1-kg,https://koro2.imgix.net/media/image/f1/50/81/CRIS_005_01E3j9hQ8K66BPv.jpg?auto=compress%2Cformat&w=900&h=900,Koro,3,3
1,Schokodrops mit Xylit ,Koro,21.0,1.0,2290.0,555.0,46.0,28.0,31.0,10.0,10.0,92.0,7.0,https://www.korodrogerie.de/schokodrops-mit-xylit-1-kg,https://koro2.imgix.net/media/image/2c/01/f8/SCHOKO_001_01c6BzVK50WZCzf.jpg?auto=compress%2Cformat&w=900&h=900,Koro,3,4
2,Schoko Protein Crunchies ohne Zuckerzusatz ,Koro,20.0,1.0,1875.0,448.0,28.0,12.0,37.0,14.0,83.0,21.0,36.0,https://www.korodrogerie.de/schoko-protein-crunchies-ohne-zuckerzusatz-1-kg,https://koro2.imgix.net/media/image/30/78/62/PROTEIN_01001xL74SLYEqMZly.jpg?auto=compress%2Cformat&w=900&h=900,Koro,3,4
3,Soja Protein Crispies 60 % ,Koro,13.0,1.0,1541.0,363.0,18.0,2.0,26.0,8.0,8.0,60.0,32.0,https://www.korodrogerie.de/soja-protein-crispies-60-1-kg,https://koro2.imgix.net/media/image/84/55/ca/CRIS_004_RE_02.jpg?auto=compress%2Cformat&w=900&h=900,Koro,3,4
4,Bohnen-Erbsen-Mix geröstet & gesalzen ,Koro,11.5,1.0,1766.0,421.0,14.0,23.0,35.0,67.0,10.0,33.0,10.0,https://www.korodrogerie.de/bohnen-erbsen-mix-geroestet-gesalzen-1-kg,https://koro2.imgix.net/media/image/a9/37/79/Bohnenerbsenmix.jpg?auto=compress%2Cformat&w=200&h=200,Koro,3,4
5,Reisgebäck Superior Mix ,Koro,11.5,0.75,1710.0,405.0,63.0,12.0,78.0,13.0,27.0,76.0,12.0,https://www.korodrogerie.de/reisgebaeck-superior-mix-750-g,https://koro2.imgix.net/media/image/68/7c/90/Reisgeback.jpg?auto=compress%2Cformat&w=200&h=200,Koro,3,4
6,Amarena Kirschen mit Zartbitterschokolade ,Koro,8.5,0.25,1715.0,409.0,17.0,11.0,58.0,45.0,54.0,35.0,8.0,https://www.korodrogerie.de/amarena-kirschen-mit-zartbitterschokolade-250-g,https://koro2.imgix.net/media/image/31/8f/d6/AMARE_001_01A0Y4sgAPlPMF7.jpg?auto=compress%2Cformat&w=900&h=900,Koro,3,4
7,Sonnengetrocknete Tomaten ,Koro,12.0,1.0,1078.0,258.0,30.0,0.0,44.0,38.0,12.0,14.0,53.0,https://www.korodrogerie.de/sonnengetrocknete-tomaten-1-kg,https://koro2.imgix.net/media/image/5b/aa/28/Tomatengetrock.jpg?auto=compress%2Cformat&w=200&h=200,Koro,3,2
8,Apfelchips Deutscher Elstar ,Koro,7.0,0.25,1507.0,356.0,0.0,0.0,77.0,72.0,14.0,22.0,3.0,https://www.korodrogerie.de/apfelchips-deutscher-elstar-250-g,https://koro2.imgix.net/media/image/95/50/b3/ApfelchipsuoY5o38jWh7wA.jpg?auto=compress%2Cformat&w=200&h=200,Koro,3,3
9,Bio Rote Bete Chips ,Koro,11.0,0.2,1415.0,335.0,0.0,0.0,63.0,54.0,17.0,11.0,5.0,https://www.korodrogerie.de/bio-rote-bete-chips-200-g,https://koro2.imgix.net/media/image/13/f2/e2/Rotebeetechips.jpg?auto=compress%2Cformat&w=200&h=200,Koro,3,3
10,Apfelstücke mit Zimt & Zucker ,Koro,14.5,1.0,1505.0,360.0,0.0,0.0,89.0,75.0,20.0,0.0,58.0,https://www.korodrogerie.de/apfelstuecke-mit-zimt-zucker-1-kg,https://koro2.imgix.net/media/image/c5/c3/14/Apfelstucke.jpg?auto=compress%2Cformat&w=200&h=200,Koro,3,3
11,Reiscracker Chili ,Koro,12.5,1.0,1968.0,469.0,19.0,18.0,70.0,15.0,0.0,58.0,275.0,https://www.korodrogerie.de/reiscracker-chili-1-kg,https://koro2.imgix.net/media/image/b2/c6/b2/ReiscrackerChilliVgazzaACJbvfx.jpg?auto=compress%2Cformat&w=200&h=200,Koro,3,4
12,Edamame Bohnen geröstet und gesalzen ,Koro,11.5,0.75,1726.0,412.0,14.0,2.0,23.0,1.0,13.0,43.0,13.0,https://www.korodrogerie.de/edamame-bohnen-geroestet-und-gesalzen-750-g,https://koro2.imgix.net/media/image/7c/2f/dd/EdamameEhPrVPETvdLN1.jpg?auto=compress%2Cformat&w=200&h=200,Koro,3,4
13,Schwarze Sojabohnen geröstet und gesalzen ,Koro,10.5,0.75,1923.0,459.0,14.0,2.0,32.0,1.0,10.0,47.0,13.0,https://www.korodrogerie.de/schwarze-sojabohnen-geroestet-und-gesalzen-750-g,https://koro2.imgix.net/media/image/97/f7/01/BOHNE_006_01QLErKQCoyHow3.jpg?auto=compress%2Cformat&w=900&h=900,Koro,3,4
14,Saubohnen geröstet und gesalzen ,Koro,8.5,0.75,1802.0,430.0,16.0,16.0,40.0,32.0,11.0,26.0,25.0,https://www.korodrogerie.de/saubohnen-geroestet-und-gesalzen-750-g,https://koro2.imgix.net/media/image/f7/cf/80/BOHNE_007_0195wYSbXP0jWAL.jpg?auto=compress%2Cformat&w=900&h=900,Koro,3,4
15,Bio Vollkornreiswaffeln mit Amaranth und Hirse  ,Koro,9.5,0.1727999999999999,1664.0,393.0,28.0,5.0,81.0,1.0,61.0,79.0,98.0,https://www.korodrogerie.de/bio-vollkornreiswaffeln-mit-amaranth-und-hirse-12-x-120-g,https://koro2.imgix.net/media/image/7b/9b/40/REISW_001_01Fed0gHnvH1DVd.jpg?auto=compress%2Cformat&w=900&h=900,Koro,3,4
16,Bio Vollkornreiswaffeln mit aten  ,Koro,9.5,0.1727999999999999,1589.0,375.0,29.0,6.0,76.0,1.0,56.0,85.0,96.0,https://www.korodrogerie.de/bio-vollkornreiswaffeln-mit-7-saaten-12-x-120-g,https://koro2.imgix.net/media/image/30/a3/d8/REISW_002_01ZWkKKzlvvjdbB.jpg?auto=compress%2Cformat&w=900&h=900,Koro,3,4
17,Vollkornreiswaffeln mit dunkler Schokolade  ,Koro,14.0,0.0972,1981.0,473.0,21.0,12.0,59.0,26.0,77.0,73.0,6.0,https://www.korodrogerie.de/vollkornreiswaffeln-mit-dunkler-schokolade-12-x-90-g,https://koro2.imgix.net/media/image/6f/01/bb/REISW_003_01Ux18DYnRx94c9.jpg?auto=compress%2Cformat&w=900&h=900,Koro,3,4
18,Bio Vollkornreiswaffeln mit Amaranth und Hirse ,Koro,1.5,0.12,1664.0,393.0,28.0,5.0,81.0,1.0,61.0,79.0,98.0,https://www.korodrogerie.de/bio-vollkornreiswaffeln-mit-amaranth-und-hirse-120-g,https://koro2.imgix.net/media/image/7e/24/73/REISW_001_01POM9JffEhxinE.jpg?auto=compress%2Cformat&w=900&h=900,Koro,3,4
19,Bio Vollkornreiswaffeln mit aten ,Koro,1.5,0.12,1589.0,375.0,29.0,6.0,76.0,1.0,56.0,85.0,96.0,https://www.korodrogerie.de/bio-vollkornreiswaffeln-mit-7-saaten-120-g,https://koro2.imgix.net/media/image/69/fa/6a/REISW_005_011teMTcmUuhxa4.jpg?auto=compress%2Cformat&w=900&h=900,Koro,3,4
20,Vollkornreiswaffeln mit dunkler Schokolade ,Koro,2.0,0.09,1981.0,473.0,21.0,12.0,59.0,26.0,77.0,73.0,6.0,https://www.korodrogerie.de/vollkornreiswaffeln-mit-dunkler-schokolade-90-g,https://koro2.imgix.net/media/image/d5/e6/75/Schokireiswaffeln.jpg?auto=compress%2Cformat&w=200&h=200,Koro,3,4
21,Bio Süßkartoffel Chips  ,Koro,11.5,0.2,1467.0,347.0,7.0,3.0,70.0,32.0,15.0,78.0,8.0,https://www.korodrogerie.de/bio-suesskartoffel-chips-200-g,https://koro2.imgix.net/media/image/40/3e/dc/Chips_002_01ON2LwzBIMv5Qb.jpg?auto=compress%2Cformat&w=900&h=900,Koro,3,4
22,Bio Bruchschokolade Bitter Blaubeere Quinoa ,Koro,10.5,1.0,2310.0,558.0,42.0,26.0,30.0,20.0,13.0,81.0,13.0,https://www.korodrogerie.de/bio-bruchschokolade-bitter-blaubeere-quinoa-1-kg,https://koro2.imgix.net/media/image/6b/0b/b5/SCHOKO_006_01.jpg?auto=compress%2Cformat&w=900&h=900,Koro,3,4
23,Geröstete Maiskörner mit Salz ,Koro,8.5,1.0,1818.0,433.0,15.0,17.0,64.0,1.0,98.0,67.0,2.0,https://www.korodrogerie.de/geroestete-maiskoerner-mit-salz-1-kg,https://koro2.imgix.net/media/image/6a/39/39/MAIS_005_01sbuobOKVfyGfY.jpg?auto=compress%2Cformat&w=900&h=900,Koro,3,4
24,Aprikosen in Zartbitterschokolade ,Koro,12.5,0.5,1407.0,338.0,12.0,7.0,57.0,49.0,51.0,42.0,3.0,https://www.korodrogerie.de/aprikosen-in-zartbitterschokolade-500-g,https://koro2.imgix.net/media/image/0a/5e/a4/APRIK_005_010EpE4P5pWIGk7.jpg?auto=compress%2Cformat&w=900&h=900,Koro,3,4
25,Sanddornbeeren mit Traubensaft ,Koro,22.0,0.5,1641.0,390.0,83.0,24.0,69.0,58.0,84.0,51.0,2.0,https://www.korodrogerie.de/sanddornbeeren-mit-traubensaft-500-g,https://koro2.imgix.net/media/image/d8/b2/1f/SAND_002_01U57sFQ1F8bSdg.jpg?auto=compress%2Cformat&w=900&h=900,Koro,3,4
26,"Bio Saure Würmer ohne Gelatine 1,",Koro,24.5,5.0,1460.0,343.0,0.0,0.0,84.0,56.0,0.0,0.0,2.0,https://www.korodrogerie.de/bio-saure-wuermer-ohne-gelatine-1-5-kg,https://koro2.imgix.net/media/image/61/72/57/WORMS_001_01.jpg?auto=compress%2Cformat&w=900&h=900,Koro,0,3
27,"Bio Fruchtgummibärchen ohne Gelatine 1,",Koro,18.0,25.0,1372.0,323.0,0.0,0.0,78.0,58.0,28.0,0.0,8.0,https://www.korodrogerie.de/bio-fruchtgummibaerchen-ohne-gelatine-1-25-kg,https://koro2.imgix.net/media/image/d9/50/9e/FRUCHT_003_01XmGYRO2hKC3P8.jpg?auto=compress%2Cformat&w=900&h=900,Koro,3,3
28,Bohnenmix Chili Limette ,Koro,17.0,1.0,1796.0,428.0,16.0,20.0,36.0,12.0,97.0,31.0,14.0,https://www.korodrogerie.de/bohnenmix-chili-limette-1-kg,https://koro2.imgix.net/media/image/24/9c/3d/BOHNE_018_01EdHDNCYFnMRvt.jpg?auto=compress%2Cformat&w=900&h=900,Koro,3,4
29,Bio Energy Ball Erdnuss ,Koro,1.5,0.03,1481.0,354.0,16.0,33.0,48.0,46.0,6.0,11.0,0.0,https://www.korodrogerie.de/bio-energy-ball-erdnuss-30-g,https://koro2.imgix.net/media/image/1f/57/97/EnergyballErdnuss.jpg?auto=compress%2Cformat&w=200&h=200,Koro,0,2
30,Bio Energy Ball Haselnuss ,Koro,1.5,0.03,1548.0,378.0,16.0,28.0,50.0,46.0,6.0,88.0,0.0,https://www.korodrogerie.de/bio-energy-ball-haselnuss-30-g,https://koro2.imgix.net/media/image/b7/5c/c2/BLISS_002_01.jpg?auto=compress%2Cformat&w=900&h=900,Koro,3,2
31,Bio Bruchschokolade Bitter Beeren Mix ,Koro,14.0,1.0,2370.0,570.0,43.0,27.0,33.0,27.0,12.0,69.0,2.0,https://www.korodrogerie.de/bio-bruchschokolade-bitter-beeren-mix-1-kg,https://koro2.imgix.net/media/image/33/e2/d2/SCHOKO_012_02.jpg?auto=compress%2Cformat&w=900&h=900,Koro,3,0
32,Bio Energy Ball Salted Peanut ,Koro,1.5,0.03,1679.0,401.0,20.0,35.0,45.0,35.0,7.0,13.0,87.0,https://www.korodrogerie.de/bio-energy-ball-salted-peanut-30-g,https://koro2.imgix.net/media/image/83/44/b0/PeanutEnergy.jpg?auto=compress%2Cformat&w=200&h=200,Koro,3,4
33,Bio Cookie Chocolate Chip  ,Koro,15.0,0.03,2079.0,500.0,32.0,18.0,39.0,19.0,92.0,97.0,4.0,https://www.korodrogerie.de/bio-cookie-chocolate-chip-12-x-50-g,https://koro2.imgix.net/media/image/f8/4e/df/CookieChocolate.jpg?auto=compress%2Cformat&w=200&h=200,Koro,3,4
34,Bio Rohkostriegel Kakao ,Koro,1.0,0.05,1518.0,399.0,18.0,3.0,47.0,39.0,4.0,12.0,0.0,https://www.korodrogerie.de/bio-rohkostriegel-kakao-50-g,https://koro2.imgix.net/media/image/c8/90/04/RAW_Bar_Kakao_02.jpg?auto=compress%2Cformat&w=900&h=900,Koro,0,2
35,Bio Nut Butter Bar Tahin ,Koro,1.5,0.03,1508.0,360.0,13.0,22.0,46.0,44.0,13.0,89.0,2.0,https://www.korodrogerie.de/bio-nut-butter-bar-tahin-30-g,https://koro2.imgix.net/media/image/92/41/ba/BIO_Sesam_Tahin_Riegel_01.jpg?auto=compress%2Cformat&w=900&h=900,Koro,3,4
36,Bio Nut Butter Bar Tahin  ,Koro,12.0,0.0107999999999999,1819.0,435.0,24.0,33.0,39.0,18.0,16.0,15.0,1.0,https://www.korodrogerie.de/bio-nut-butter-bar-tahin-12-x-30-g,https://koro2.imgix.net/media/image/bf/6e/b8/BIO_Sesam_Tahin_Riegel_07.jpg?auto=compress%2Cformat&w=900&h=900,Koro,3,0
37,Bio Veganer Proteinriegel Haselnuss ,Koro,2.5,0.06,1980.0,474.0,27.0,10.0,32.0,27.0,44.0,25.0,3.0,https://www.korodrogerie.de/bio-veganer-proteinriegel-haselnuss-60-g,https://koro2.imgix.net/media/image/f3/bd/3e/ProteinbarHaselnuss.jpg?auto=compress%2Cformat&w=200&h=200,Koro,3,4
38,Bio Geile Schnitte Schokolade ,Koro,1.5,0.03,2197.0,518.0,37.0,30.0,39.0,28.0,91.0,54.0,32.0,https://www.korodrogerie.de/bio-geile-schnitte-schokolade-30-g,https://koro2.imgix.net/media/image/68/cb/5e/Geileschnitte.jpg?auto=compress%2Cformat&w=200&h=200,Koro,3,4
39,Bio Energy Ball Pistazie ,Koro,1.0,0.03,1485.0,484.0,17.0,21.0,47.0,44.0,8.0,10.0,1.0,https://www.korodrogerie.de/bio-energy-ball-pistazie-30-g,https://koro2.imgix.net/media/image/2f/a9/g0/EnergyballPistazie.jpg?auto=compress%2Cformat&w=200&h=200,Koro,0,2
40,Kichererbsen geröstet und gesalzen ,Koro,10.5,1.0,1791.0,428.0,16.0,19.0,44.0,37.0,16.0,19.0,15.0,https://www.korodrogerie.de/kichererbsen-geroestet-und-gesalzen-1-kg,https://koro2.imgix.net/media/image/e3/a1/57/KICH_001_01.jpg?auto=compress%2Cformat&w=900&h=900,Koro,3,4
41,Geröstete Kichererbsen BBQ ,Koro,12.0,1.0,1769.0,422.0,15.0,18.0,45.0,40.0,15.0,19.0,10.0,https://www.korodrogerie.de/geroestete-kichererbsen-bbq-1-kg,https://koro2.imgix.net/media/image/1d/c0/06/KICH_002_01.jpg?auto=compress%2Cformat&w=900&h=900,Koro,3,4
42,Geröstete Kichererbsen Salz & Pfeffer ,Koro,12.0,1.0,1763.0,421.0,15.0,18.0,45.0,37.0,15.0,19.0,10.0,https://www.korodrogerie.de/geroestete-kichererbsen-salz-pfeffer-1-kg,https://koro2.imgix.net/media/image/ec/e0/12/KICH_003_02.jpg?auto=compress%2Cformat&w=900&h=900,Koro,3,4
43,Bio Rohkostriegel Himbeere ,Koro,1.5,0.05,1631.0,388.0,18.0,3.0,50.0,43.0,5.0,10.0,0.0,https://www.korodrogerie.de/bio-rohkostriegel-himbeere-50-g,https://koro2.imgix.net/media/image/4d/16/a1/RAW_Bar_Himbeere_02-1.jpg?auto=compress%2Cformat&w=900&h=900,Koro,0,2
44,Bio Rohkostriegel Cashew ,Koro,1.5,0.05,1683.0,399.0,20.0,36.0,49.0,40.0,40.0,10.0,0.0,https://www.korodrogerie.de/bio-rohkostriegel-cashew-50-g,https://koro2.imgix.net/media/image/de/f7/dc/RAW_Bar_Cashew_02kJNExC8PBupCj.jpg?auto=compress%2Cformat&w=900&h=900,Koro,3,0
45,Bio Cookie Chocolate Chip ,Koro,2.0,0.05,2079.0,500.0,32.0,18.0,39.0,19.0,92.0,97.0,4.0,https://www.korodrogerie.de/bio-cookie-chocolate-chip-50-g,https://koro2.imgix.net/media/image/f8/4e/df/CookieChocolate.jpg?auto=compress%2Cformat&w=200&h=200,Koro,3,4
46,Bio Cookie Salted Caramel ,Koro,2.0,0.05,2031.0,487.0,28.0,12.0,46.0,18.0,65.0,10.0,23.0,https://www.korodrogerie.de/bio-cookie-salted-caramel-50-g,https://koro2.imgix.net/media/image/b4/fd/77/Cookiesalted.jpg?auto=compress%2Cformat&w=200&h=200,Koro,3,4
47,Bio Cookie Salted Caramel  ,Koro,13.5,0.03,2031.0,487.0,28.0,12.0,46.0,18.0,65.0,10.0,23.0,https://www.korodrogerie.de/bio-cookie-salted-caramel-12-x-50-g,https://koro2.imgix.net/media/image/9a/7e/76/COOKIE_005_01ImM2uw2wcukQ9.jpg?auto=compress%2Cformat&w=900&h=900,Koro,3,4
48,Apfelchips hauchdünn rot ,Koro,17.0,0.25,1250.0,297.0,10.0,1.0,70.0,62.0,19.0,15.0,2.0,https://www.korodrogerie.de/apfelchips-hauchduenn-rot-250-g,https://koro2.imgix.net/media/image/94/5a/4e/Apfel_007_02.jpg?auto=compress%2Cformat&w=900&h=900,Koro,3,3
49,Apfelchips hauchdünn grün ,Koro,16.0,0.25,1250.0,297.0,10.0,0.0,70.0,62.0,19.0,15.0,2.0,https://www.korodrogerie.de/apfelchips-hauchduenn-gruen-250-g,https://koro2.imgix.net/media/image/0f/f4/f3/APFEL_008_01.jpg?auto=compress%2Cformat&w=900&h=900,Koro,3,3
50,Bio Rote Bete Chips   ,Koro,200.5,0.8,1415.0,335.0,0.0,0.0,63.0,54.0,17.0,11.0,5.0,https://www.korodrogerie.de/bio-rote-bete-chips-20-x-200-g,https://koro2.imgix.net/media/image/fd/0d/6f/CHIPS_001_TRAY.jpg?auto=compress%2Cformat&w=900&h=900,Koro,3,3
51,Bio Süßkartoffel Chips   ,Koro,203.5,0.8,1558.0,370.0,54.0,18.0,662.0,396.0,159.0,62.0,32.0,https://www.korodrogerie.de/bio-suesskartoffel-chips-20-x-200-g,https://koro2.imgix.net/media/image/26/3b/45/CHIPS_002_TRAY.jpg?auto=compress%2Cformat&w=900&h=900,Koro,3,4
52,Saubohnen geröstet und gesalzen  ,Koro,93.0,6.75,1802.0,430.0,16.0,16.0,40.0,32.0,11.0,26.0,25.0,https://www.korodrogerie.de/saubohnen-geroestet-und-gesalzen-12-x-750-g,https://koro2.imgix.net/media/image/59/fe/c4/BOHNE_007_TRAY.jpg?auto=compress%2Cformat&w=900&h=900,Koro,3,4
53,Schwarze Sojabohnen geröstet und gesalzen   ,Koro,117.5,6.75,1923.0,459.0,137.0,20.0,32.0,10.0,10.0,465.0,13.0,https://www.korodrogerie.de/schwarze-sojabohnen-geroestet-und-gesalzen-12-x-750-g,https://koro2.imgix.net/media/image/c1/cc/0d/BOHNE_006_TRAY.jpg?auto=compress%2Cformat&w=900&h=900,Koro,3,4
54,Bohnen-Erbsen-Mix geröstet & gesalzen   ,Koro,125.5,12.0,1766.0,421.0,14.0,41.0,35.0,67.0,10.0,33.0,10.0,https://www.korodrogerie.de/bohnen-erbsen-mix-geroestet-gesalzen-12-x-1-kg,https://koro2.imgix.net/media/image/55/4f/3a/BOHNE_002_01nLGqX77uN7S10.jpg?auto=compress%2Cformat&w=900&h=900,Koro,3,4
55,Amarena Kirschen mit Zartbitterschokolade   ,Koro,161.5,1.5625,1715.0,409.0,171.0,107.0,576.0,4532.0,54.0,35.0,8.0,https://www.korodrogerie.de/amarena-kirschen-mit-zartbitterschokolade-25-x-250-g,https://koro2.imgix.net/media/image/37/e1/80/AMARE_001_TRAY_.jpg?auto=compress%2Cformat&w=900&h=900,Koro,3,4
56,Sonnengetrocknete Tomaten  ,Koro,111.5,10.0,1078.0,258.0,30.0,,44.0,38.0,12.0,14.0,53.0,https://www.korodrogerie.de/sonnengetrocknete-tomaten-10-x-1-kg,https://koro2.imgix.net/media/image/36/57/29/TOM_001_TRAY.jpg?auto=compress%2Cformat&w=900&h=900,Koro,3,4
57,Apfelstücke mit Zimt & Zucker   ,Koro,108.0,8.0,1505.0,360.0,0.0,0.0,89.0,75.0,20.0,0.0,58.0,https://www.korodrogerie.de/apfelstuecke-mit-zimt-zucker-8-x-1-kg,https://koro2.imgix.net/media/image/99/34/e8/APFEL_001_TRAY.jpg?auto=compress%2Cformat&w=900&h=900,Koro,3,3
58,Aprikosen in Zartbitterschokolade   ,Koro,114.5,2.5,1407.0,338.0,12.0,70.0,57.0,49.0,51.0,42.0,3.0,https://www.korodrogerie.de/aprikosen-in-zartbitterschokolade-10-x-500-g,https://koro2.imgix.net/media/image/72/f7/6f/APRIK_005_TRAY_.jpg?auto=compress%2Cformat&w=900&h=900,Koro,3,4
59,Bio Linsenchips mit Meersalz ,Koro,3.0,0.1,2058.0,492.0,24.0,22.0,56.0,10.0,46.0,10.0,2.0,https://www.korodrogerie.de/bio-linsenchips-mit-meersalz-100-g,https://koro2.imgix.net/media/image/cc/53/5d/Biolinsenchips.jpg?auto=compress%2Cformat&w=200&h=200,Koro,3,4
60,Bio Linsenchips mit Meersalz  ,Koro,40.0,0.16,2040.0,488.0,25.0,20.0,59.0,0.0,45.0,10.0,24.0,https://www.korodrogerie.de/bio-linsenchips-mit-meersalz-16-x-100-g,https://koro2.imgix.net/media/image/9f/df/2c/BIO_Linsenchips_mit_Meersalz_07.jpg?auto=compress%2Cformat&w=900&h=900,Koro,3,4
61,Nussknacker Walnuss-Feige ,Koro,1.5,0.04,2204.0,529.0,33.0,4.0,41.0,18.0,59.0,14.0,21.0,https://www.korodrogerie.de/nussknacker-walnuss-feige-40-g,https://koro2.imgix.net/media/image/04/29/eb/Nussknacker_Walnuss_Feige_01.jpg?auto=compress%2Cformat&w=900&h=900,Koro,3,4
62,Nussknacker Walnuss-Feige  ,Koro,11.0,0.0192,2204.0,529.0,33.0,40.0,41.0,18.0,59.0,14.0,21.0,https://www.korodrogerie.de/nussknacker-walnuss-feige-12-x-40-g,https://koro2.imgix.net/media/image/26/e0/d3/Nussknacker_Walnuss_Feige_07.jpg?auto=compress%2Cformat&w=900&h=900,Koro,3,4
63,Reiscracker Fried Oregano ,Koro,13.0,1.0,2059.0,492.0,22.0,10.0,69.0,11.0,17.0,41.0,15.0,https://www.korodrogerie.de/reiscracker-fried-oregano-1-kg,https://koro2.imgix.net/media/image/58/52/8d/CRACKER_012_01.jpg?auto=compress%2Cformat&w=900&h=900,Koro,3,4
64,Nussknacker Cashew-Walnuss ,Koro,2.0,0.04,2472.0,595.0,42.0,49.0,38.0,21.0,56.0,14.0,3.0,https://www.korodrogerie.de/nussknacker-cashew-walnuss-40-g,https://koro2.imgix.net/media/image/0b/f2/34/NussknackerWalnuss.jpg?auto=compress%2Cformat&w=200&h=200,Koro,3,4
65,Nussknacker Cashew-Walnuss  ,Koro,12.0,0.0192,2472.0,595.0,42.0,49.0,38.0,21.0,56.0,14.0,3.0,https://www.korodrogerie.de/nussknacker-cashew-walnuss-12-x-40-g,https://koro2.imgix.net/media/image/0b/f2/34/NussknackerWalnuss.jpg?auto=compress%2Cformat&w=200&h=200,Koro,3,4
66,Protein Ball Brownie ,Koro,1.5,0.03,1455.0,423.0,11.0,12.0,50.0,42.0,7.0,16.0,4.0,https://www.korodrogerie.de/protein-ball-brownie-30-g,https://koro2.imgix.net/media/image/2c/57/55/Protein_Ball_Brownie_01.jpg?auto=compress%2Cformat&w=900&h=900,Koro,3,2
67,Protein Ball Cookie Dough ,Koro,1.0,0.03,1502.0,356.0,12.0,21.0,47.0,42.0,4.0,20.0,40.0,https://www.korodrogerie.de/protein-ball-cookie-dough-30-g,https://koro2.imgix.net/media/image/a8/00/04/Protein_Balls_Cookie_Dough_01.jpg?auto=compress%2Cformat&w=900&h=900,Koro,3,4
68,Bio grüne Oliven mit Stein ,Koro,5.0,0.4,624.0,149.0,16.0,23.0,0.0,0.0,31.0,9.0,4.0,https://www.korodrogerie.de/bio-gruene-oliven-mit-stein-400-g,https://koro2.imgix.net/media/image/e1/66/88/BIO_Grune_Oliven_01.jpg?auto=compress%2Cformat&w=900&h=900,Koro,3,4
69,Bio grüne Oliven mit Stein  ,Koro,26.0,0.9600000000000002,624.0,149.0,16.0,23.0,0.0,0.0,31.0,9.0,4.0,https://www.korodrogerie.de/bio-gruene-oliven-mit-stein-6-x-400-g,https://koro2.imgix.net/media/image/52/89/0a/BIO_Grune_Oliven_06.jpg?auto=compress%2Cformat&w=900&h=900,Koro,3,4
70,Bio Kalamata Oliven ,Koro,5.0,0.4,990.0,240.0,25.0,37.0,0.0,0.0,35.0,13.0,40.0,https://www.korodrogerie.de/bio-kalamata-oliven-400-g,https://koro2.imgix.net/media/image/af/b1/11/BIO_Kalamata_Oliven_01.jpg?auto=compress%2Cformat&w=900&h=900,Koro,3,4
71,Bio Kalamata Oliven  ,Koro,26.0,0.9600000000000002,990.0,240.0,25.0,37.0,0.0,0.0,35.0,13.0,40.0,https://www.korodrogerie.de/bio-kalamata-oliven-6-x-400-g,https://koro2.imgix.net/media/image/9d/db/a4/BIO_Kalamata_Oliven_08.jpg?auto=compress%2Cformat&w=900&h=900,Koro,3,4
72,Feigenbrot mit Mandeln ,Koro,9.0,0.5,1427.0,338.0,5.0,4.0,71.0,53.0,56.0,5.0,0.0,https://www.korodrogerie.de/feigenbrot-mit-mandeln-500-g,https://koro2.imgix.net/media/image/75/6d/76/FEIG_005_01.jpg?auto=compress%2Cformat&w=900&h=900,Koro,3,3
73,Feigenbrot mit Mandeln  ,Koro,100.0,3.0,1427.0,338.0,50.0,4.0,71.0,53.0,56.0,50.0,0.0,https://www.korodrogerie.de/feigenbrot-mit-mandeln-12-x-500-g,https://koro2.imgix.net/media/image/57/07/d9/FEIG_006_01.jpg?auto=compress%2Cformat&w=900&h=900,Koro,3,4
74,Bio Nut Butter Bar Peanut ,Koro,1.5,0.03,1695.0,405.0,17.0,35.0,43.0,34.0,11.0,14.0,21.0,https://www.korodrogerie.de/bio-nut-butter-bar-peanut-30-g,https://koro2.imgix.net/media/image/01/fb/ab/Nutbutterbar.jpg?auto=compress%2Cformat&w=200&h=200,Koro,3,4
75,Bio Nut Butter Bar Hazelnut ,Koro,1.0,0.03,1955.0,469.0,26.0,2.0,45.0,36.0,10.0,9.0,4.0,https://www.korodrogerie.de/bio-nut-butter-bar-hazelnut-30-g,https://koro2.imgix.net/media/image/d4/13/03/Nutbutterhasel.jpg?auto=compress%2Cformat&w=200&h=200,Koro,0,2
76,Bio gepuffter Apfel ,Koro,20.5,0.5,1420.0,338.0,4.0,1.0,74.0,70.0,78.0,24.0,7.0,https://www.korodrogerie.de/bio-gepuffter-apfel-500-g,https://koro2.imgix.net/media/image/17/73/d9/BIO_Gepuffter_Apfel_01.jpg?auto=compress%2Cformat&w=900&h=900,Koro,3,4
77,Bio gepuffte Physalis ,Koro,17.5,0.5,1646.0,388.0,20.0,4.0,90.0,66.0,7.0,6.0,0.0,https://www.korodrogerie.de/bio-gepuffte-physalis-500-g,https://koro2.imgix.net/media/image/1e/1c/64/BIO_Gepuffte_Physalis_01.jpg?auto=compress%2Cformat&w=900&h=900,Koro,3,3
